state-label,state-value,city-label,city-value,station-label,station-value,lat,long
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"Hathkhoj, Bhilai - CECB",site_5659,21.2120677,81.3732849
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",site_5536,21.181433849999998,81.34381534387566
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"32Bungalows, Bhilai - CECB",site_5660,21.2120677,81.3732849
Chhattisgarh,Chhattisgarh,Bilaspur,Bilaspur,"Mangala, Bilaspur - NTPC",site_5503,22.0920206,82.1271466
Chhattisgarh,Chhattisgarh,Chhal,Chhal,"Nawapara SECL Colony, Chhal - CECB",site_5689,29.6198314,81.8294656
Chhattisgarh,Chhattisgarh,Korba,Korba,"Rampur, Korba - CECB",site_5656,22.374284,82.747178
Chhattisgarh,Chhattisgarh,Korba,Korba,"Urja Nagar, Korba - CECB",site_5657,22.5198217,82.63500285150224
Chhattisgarh,Chhattisgarh,Kunjemura,Kunjemura,"OP Jindal School, Kunjemura - CECB",site_5690,21.6637359,81.8406351
Chhattisgarh,Chhattisgarh,Milupara,Milupara,"Govt. Higher Secondary School, Milupara - CECB",site_5691,21.6637359,81.8406351
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"Krishak Nagar, Raipur - CECB",site_5654,21.2380912,81.6336993
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"AIIMS, Raipur - CECB",site_5652,21.256146049999998,81.57886935674625
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"Siltara Phase-II, Raipur - CECB",site_5653,21.2380912,81.6336993
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"Bhatagaon New ISBT, Raipur - CECB",site_5655,21.2380912,81.6336993
Chhattisgarh,Chhattisgarh,Tumidih,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",site_5692,21.6637359,81.8406351
Delhi,Delhi,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",site_115,28.610947699999997,77.03845634495539
Delhi,Delhi,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",site_122,28.63149725059628,77.19848312962061
Delhi,Delhi,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,28.58337705,77.23354040287734
Delhi,Delhi,Delhi,Delhi,"Patparganj, Delhi - DPCC",site_1431,28.6115923,77.2905644
Delhi,Delhi,Delhi,Delhi,"Pusa, Delhi - DPCC",site_1563,28.63629965,77.15764441079895
Delhi,Delhi,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,28.5685108,77.2513847
Delhi,Delhi,Delhi,Delhi,"Aya Nagar, Delhi - IMD",site_108,28.47649105,77.13291315925144
Delhi,Delhi,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",site_103,28.5500925,77.2751557
Delhi,Delhi,Delhi,Delhi,"ITO, Delhi - CPCB",site_117,28.6281909,77.2410437
Delhi,Delhi,Delhi,Delhi,"Bawana, Delhi - DPCC",site_1560,28.79966,77.0328847
Delhi,Delhi,Delhi,Delhi,"R K Puram, Delhi - DPCC",site_124,28.5503805,77.1855231
Delhi,Delhi,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,28.5000822,77.26751472410736
Delhi,Delhi,Delhi,Delhi,"Narela, Delhi - DPCC",site_1426,28.8464766,77.0856631
Delhi,Delhi,Delhi,Delhi,"Alipur, Delhi - DPCC",site_5024,28.7973118,77.138667
Delhi,Delhi,Delhi,Delhi,"North Campus, DU, Delhi - IMD",site_105,28.6273928,77.1716954
Delhi,Delhi,Delhi,Delhi,"DTU, Delhi - CPCB",site_118,28.75081525,77.11627651586947
Delhi,Delhi,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",site_1422,22.2424747,68.9671448
Delhi,Delhi,Delhi,Delhi,"Mundka, Delhi - DPCC",site_1561,28.6819261,77.0308105
Delhi,Delhi,Delhi,Delhi,"Wazirpur, Delhi - DPCC",site_1434,28.680084299999997,77.17022123990277
Delhi,Delhi,Delhi,Delhi,"Najafgarh, Delhi - DPCC",site_1427,28.6124504,76.9865067
Delhi,Delhi,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",site_125,28.672995,77.1461239
Delhi,Delhi,Delhi,Delhi,"Shadipur, Delhi - CPCB",site_113,28.6515829,77.1582587
Delhi,Delhi,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",site_106,28.554355885697692,77.0974745793394
