state_lbl,state_val,city_lbl,city_val,stn_lbl,stn_val,lat,long,geometry,index_right,Area
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"Krishak Nagar, Raipur - CECB",site_5654,21.2380912,81.6336993,POINT (81.6336993 21.2380912),252,3942949.59384
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"AIIMS, Raipur - CECB",site_5652,21.25614605,81.57886935674625,POINT (81.57886935674625 21.25614605),252,3942949.59384
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"Siltara Phase-II, Raipur - CECB",site_5653,21.2380912,81.6336993,POINT (81.6336993 21.2380912),252,3942949.59384
Chhattisgarh,Chhattisgarh,Raipur,Raipur,"Bhatagaon New ISBT, Raipur - CECB",site_5655,21.2380912,81.6336993,POINT (81.6336993 21.2380912),252,3942949.59384
Chhattisgarh,Chhattisgarh,Tumidih,Tumidih,"OP Jindal Industrial Park, Tumidih - CECB",site_5692,21.6637359,81.8406351,POINT (81.8406351 21.6637359),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",site_115,28.6109477,77.03845634495539,POINT (77.03845634495539 28.6109477),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",site_122,28.63149725059628,77.19848312962061,POINT (77.19848312962061 28.63149725059628),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",site_1424,28.58337705,77.23354040287734,POINT (77.23354040287734 28.58337705),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Patparganj, Delhi - DPCC",site_1431,28.6115923,77.2905644,POINT (77.2905644 28.6115923),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Pusa, Delhi - DPCC",site_1563,28.63629965,77.15764441079895,POINT (77.15764441079895 28.63629965),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",site_1429,28.5685108,77.2513847,POINT (77.2513847 28.5685108),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Aya Nagar, Delhi - IMD",site_108,28.47649105,77.13291315925144,POINT (77.13291315925144 28.47649105),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",site_103,28.5500925,77.2751557,POINT (77.2751557 28.5500925),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"ITO, Delhi - CPCB",site_117,28.6281909,77.2410437,POINT (77.2410437 28.6281909),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Bawana, Delhi - DPCC",site_1560,28.79966,77.0328847,POINT (77.0328847 28.79966),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"R K Puram, Delhi - DPCC",site_124,28.5503805,77.1855231,POINT (77.1855231 28.5503805),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",site_1421,28.5000822,77.26751472410736,POINT (77.26751472410736 28.5000822),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Narela, Delhi - DPCC",site_1426,28.8464766,77.0856631,POINT (77.0856631 28.8464766),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Alipur, Delhi - DPCC",site_5024,28.7973118,77.138667,POINT (77.138667 28.7973118),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"North Campus, DU, Delhi - IMD",site_105,28.6273928,77.1716954,POINT (77.1716954 28.6273928),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"DTU, Delhi - CPCB",site_118,28.75081525,77.11627651586947,POINT (77.11627651586947 28.75081525),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",site_1422,22.2424747,68.9671448,POINT (68.9671448 22.2424747),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Mundka, Delhi - DPCC",site_1561,28.6819261,77.0308105,POINT (77.0308105 28.6819261),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Wazirpur, Delhi - DPCC",site_1434,28.6800843,77.17022123990277,POINT (77.17022123990277 28.6800843),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Najafgarh, Delhi - DPCC",site_1427,28.6124504,76.9865067,POINT (76.9865067 28.6124504),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",site_125,28.672995,77.1461239,POINT (77.1461239 28.672995),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Shadipur, Delhi - CPCB",site_113,28.6515829,77.1582587,POINT (77.1582587 28.6515829),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",site_106,28.55435588569769,77.0974745793394,POINT (77.0974745793394 28.55435588569769),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",site_1435,28.6691641,77.31226695421603,POINT (77.31226695421603 28.6691641),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Rohini, Delhi - DPCC",site_1430,28.7162092,77.1170743,POINT (77.1170743 28.7162092),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",site_114,28.6273928,77.1716954,POINT (77.1716954 28.6273928),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",site_1423,28.7259717,77.162658,POINT (77.162658 28.7259717),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",site_1428,28.5273409,77.2794327,POINT (77.2794327 28.5273409),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",site_1562,28.5396291,77.2000301,POINT (77.2000301 28.5396291),252,3942949.59384
Delhi,Delhi,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",site_5393,28.6559834,77.2321937,POINT (77.2321937 28.6559834),252,3942949.59384
